feature,importance
zip_code_805xx,0.0022943425
addr_state_MD,0.0022804134
issue_d_Dec-2008,0.0022790197
zip_code_430xx,0.0022766737
zip_code_607xx,0.002276047
emp_length_7 years,0.002268748
zip_code_326xx,0.0022615017
issue_d_Feb-2012,0.002259145
issue_d_Aug-2011,0.002257506
issue_d_Sep-2007,0.0022508085
emp_length_5 years,0.002240961
openness,0.0022361106
zip_code_341xx,0.0022341362
addr_state_OR,0.002220938
zip_code_895xx,0.0022193636
zip_code_220xx,0.002217645
zip_code_774xx,0.002217041
zip_code_144xx,0.002208192
grade_D,0.0022073763
issue_d_Nov-2013,0.0022054305
zip_code_141xx,0.0022016123
zip_code_300xx,0.002194677
purpose_home_improvement,0.0021854886
zip_code_354xx,0.002183659
zip_code_306xx,0.0021804725
zip_code_124xx,0.0021796115
zip_code_890xx,0.0021684335
zip_code_935xx,0.0021644018
zip_code_770xx,0.0021620493
zip_code_330xx,0.0021607464
verification_status_Source Verified,0.0021536767
zip_code_194xx,0.002151832
zip_code_906xx,0.002143648
addr_state_MO,0.0021429595
zip_code_229xx,0.002141465
zip_code_180xx,0.0021390491
zip_code_911xx,0.0021293017
sub_grade_C4,0.0021268958
issue_d_Jul-2011,0.0021205016
zip_code_958xx,0.0021172718
zip_code_131xx,0.0021083653
zip_code_950xx,0.0021058593
zip_code_421xx,0.002097026
zip_code_064xx,0.002096448
zip_code_111xx,0.0020933526
funded_amnt,0.0020899207
issue_d_Jun-2009,0.0020591281
zip_code_224xx,0.0020582268
zip_code_871xx,0.002056125
loan_amnt,0.0020393804
zip_code_025xx,0.0020384982
issue_d_Nov-2010,0.0020350441
zip_code_756xx,0.0020349391
zip_code_530xx,0.0020304522
issue_d_Mar-2011,0.0020290262
sub_grade_E4,0.0020268306
issue_d_May-2013,0.0020254294
sub_grade_D5,0.0020249502
zip_code_018xx,0.0020191062
zip_code_786xx,0.0020147748
zip_code_296xx,0.0019927605
zip_code_350xx,0.0019862151
purpose_wedding,0.0019822835
issue_d_Apr-2012,0.0019707773
issue_d_Jun-2012,0.0019621046
zip_code_860xx,0.0019517051
zip_code_336xx,0.001940658
zip_code_294xx,0.0019217806
issue_d_May-2010,0.0019146451
zip_code_851xx,0.0018989232
zip_code_359xx,0.0018928867
zip_code_109xx,0.001887659
addr_state_VT,0.0018818778
issue_d_Jan-2009,0.0018742695
zip_code_992xx,0.0018720863
sub_grade_B3,0.0018689054
sub_grade_F1,0.0018633449
issue_d_Dec-2009,0.0018618852
zip_code_292xx,0.0018561733
issue_d_Sep-2010,0.0018546612
zip_code_559xx,0.0018473318
issue_d_Oct-2012,0.0018439476
zip_code_650xx,0.0018359456
zip_code_462xx,0.0018303178
zip_code_241xx,0.00182851
zip_code_215xx,0.0018269805
zip_code_104xx,0.0018247523
addr_state_CA,0.0018193973
zip_code_622xx,0.001811697
issue_d_Aug-2010,0.0018116499
home_ownership_RENT,0.0018075921
issue_d_Mar-2012,0.0018039304
zip_code_071xx,0.0018021374
issue_d_Nov-2008,0.0017938919
emp_length_6 years,0.001790528
pub_rec,0.0017794688
